,0
Basset Hound,Canis lupus familiaris
Bassetoodle,Canis lupus familiaris
Bat,Chiroptera
Bavarian Mountain Hound,Canis lupus familiaris
Baya,Ploceus philippinus
Beagle,Canis lupus familiaris
Beaglier,Canis lupus familiaris
Bear,Ursidae
Bearded Collie,Canis lupus familiaris
Bearded Dragon,Pogona
Bearded Vulture,Gypaetus barbatus
Beauceron,Canis lupus familiaris
Beaver,Castor
Bed Bugs,Cimicidae
Bed bugs,Cimicidae
Bedlington Terrier,Canis lupus familiaris
Bee,Anthophila
Beefalo,Bos taurus X Bison bison
Bees,Anthophila
Beetle,Coleoptera
Beetles,Coleoptera
Belgian Shepherd,Canis lupus familiaris
Belgian Tervuren,Canis lupus familiaris
Beluga Sturgeon,Huso huso
Beluga whale,Delphinapterus leucas
Bengal Tiger,Panthera tigris tigris
Bergamasco,Canis lupus familiaris
Berger Picard,Canis lupus familiaris
Bernedoodle,Canis lupus familiaris
Bernese Mountain Dog,Canis lupus familiaris
Bernese Shepherd,Canis lupus familiaris
Betta Fish (Siamese Fighting Fish),Betta splendens
Bichir,Polypteridae
Black Gram,Palsoes mungo
Black Pepper,Piper nigrum
Blackbuck,Antilope cervicapra
Booklice,Psocoptera
Brinjal,Solanum melongena
Bug,Insecta
Bulbul,Molpastes cafer
Butterfly,Rhopalocera
Capsicum,Capsicum fruitscence
Carrot,Daucus carota
Cashew nut,Anacardium occidentale
Cat,Felis catus
Centipede,Chilopoda
Cheetah,Acinonyx jubatus
Chiku,Achras sapota
Chimpanzee,Pan troglodytes
Clove,Syzygium aromaticum
Cockroach,Blattodea
Cockroaches,Blattodea
Coriander,Coriandrum sativum
Cotton,Gossypium herbaceum
Cow,Bos Taurus
Cricket,Grylloidea
Crickets,Grylloidea
Cucumber,Cucumis sativas
Curry leaf,Murraya koenigii
Date Palm,Phoenix dactylifera
Dog,Canis lupus familiaris
Donkey,Equus africanus asinus
Dragon fruit,Hylocereus undatus
Dragonflies,Anisoptera
Dragonfly,Anisoptera
Dromedary Camel,Camelus dromedaries
Earwigs,Dermaptera
Finger millet,Eleusine coracana
Firefly,Lampyridae
Flea,Siphonaptera
Fleas,Siphonaptera
Fly,Diptera
Fowl,Gallus gallus domesticus
Garlic,Allium sativum
Gharial,Gavialis gangeticus
Ginger,Zingiber officinale
Goat,Capra aegagrus hircus
Gorilla,Gorilla
Grasshopper,Caelifera
Grasshoppers,Caelifera
Great white shark,Carcharodon carcharias
Green Gram,Phaseolus audicus
Greenfly,Aphidoidea
Guava,Psidium guava
Hippopotamus,Hippopotamus amphibius
Horse,Equus ferus caballus
House wall Lizard,Hemidactylus flaviviridis
Human beings,Homo sapiens
Humpback whale,Megaptera novaeangliae
Ibex,Capra ibex
Ibis,Threskiornithinae
Ibizan Hound,Canis lupus familiaris
Icelandic Sheepdog,Canis lupus familiaris
Iguana,Iguana
Immortal Jellyfish,Turritopsis dohrnii
Impala,Aepyceros melampus
Imperial Moth,Eacles imperialis
Indian Cobra,Naja naja
Indian Elephant,Elephas maximus
Indian Giant Squirrel,Ratufa indica
Indian Palm Squirrel,Funambulus palmarum
Indian Rhinoceros,Rhinoceros unicornis
Indian Star Tortoise,Geochelone elegans
Indigo Snake,Drymarchon couperi
Indochinese Tiger,Panthera tigris corbetti
Indri,Indri indri
Irish Doodle,Canis lupus familiaris
Irish Setter,Canis lupus familiaris
Irish Terrier,Canis lupus familiaris
Irish Water Spaniel,Canis lupus familiaris
Irish WolfHound,Canis lupus familiaris
Italian Greyhound,Canis lupus familiaris
Ivory-billed woodpecker,Campephilus principalis
Jacana,Jacanidae
Jack Russell,Canis lupus familiaris
Jackal,Canis aureus
Jackdaw,Corvus monedula
Jackfruit,Artocarpus integra
Jackrabbit,Lepus californicus
Jackson's Chameleon,Trioceros jacksonii
Jaguar,Panthera onca
Jaguarundi Cat,Puma yagouaroundi
Japanese Beetle,Popillia japonica
Japanese Chin,Canis lupus familiaris
Japanese Macaque,Macaca fuscata
Japanese Spitz,Canis lupus familiaris
Japanese Squirrel,Sciurus lis
Japanese Terrier,Canis lupus familiaris
Javan Rhinoceros,Rhinoceros sondaicus
Jonah Crab,Cancer borealis
Joro Spider,Nephila clavata
Jowar,Sorghum Vulgare
Jumping Spider,Salticidae
Junglefowl,Gallus
Kadamb,Anthocephalus indicus
King cobra,Ophiophagus hannah
Kingfisher,Alcedo atthis
Ladybug,Coccinellidae
Ladybugs,Coccinellidae
Lapwing,Vanellus vanellus
Lemon,Citrus Limonium
Lesser,redpoll Carduelis cabaret
Lion,Panthera leo
Locust,Schistocerca gregaria
Long,tailed tit Aegithalos caudatus
Magpie,Pica pica
Maize,Zea mays
Mallard,Anas platyrhynchos
Mango,Mangifera indica
Meadow,pipit Anthus pratensis
Mint,Mentha arvensis
Mistle,thrush Turdus viscivorus
Moorhen,Gallinula chloropus
Mosquito,Culicidae
Moths,Lepidoptera
Narwal,Monodon monoceros
Neem,Azadirachta indica
Nettle,Urtica dioica
Oak Toad,Anaxyrus quercicus
Ocelot,Leopardus pardalis
Octopus,Octopoda
Okapi,Okapia johnstoni
Old English Sheepdog,Canis lupus familiaris
Olive Baboon,Papio anubis
Olm,Proteus anguinus
Onion,Allium cepa
Opossum,Didelphidae
Orang-utan,Pongo
Orange,Citrus aurantium
Orange-Crowned Warbler,Vermivora celata
Orangutans,Pongo
Orb Weaver,Araneidae
Orca,Orcinus orca
Ortolan Bunting,Emberiza hortulana
Oscar Fish,Astronotus ocellatus
Ostrich,Struthio camelus
Otter,Lutrinae
Otterhound,Canis lupus familiaris
Owl,Strigiformes
Ox,Bos taurus
Oyster,Ostreidae
Oyster Toadfish,Opsanus tau
Oystercatcher,Haematopus ostralegus
Panda,Ailuropoda melanoleuca
Papaya,Carica papaya
Pea,Pisum sativum
Peacock Flower (Gulmohar),Delonix regia rafin
Peepal,Ficus religiosa Linn.
Peregrine,Falco peregrinus
Pheasant,Phasianus colchicus
Pied,wagtail Motacilla alba
Pig,Sus scrofa domesticus
Pineapple,Ananus sativus
Pink,footed goose Anser brachyrhynchus
Pomegranate,Punica granatum
Potato,Solanum tuberosum
Praying Mantids,Mantodea
Purple orchid tree (Kachnar),Bauhinia purpurea
Quagga,Equus quagga quagga
Quail,Coturnix coturnix
Queen snake,Regina septemvittata
Quokka,Setonix brachyurus
Quoll,Dasyurus
Radish,Raphanus sativus
Rat snake,Ptyas mucosa
Raven,Corvus corax
Red,kite Milvus milvus
Red fox,Vulpes Vulpes
Red maple,Acer rubrum
Redstart,Phoenicurus phoenicurus
Redwing,Turdus iliacus
Reed,bunting Emberiza schoeniclus
Rice,Oryza sativa
Robin,Erithacus rubecula
Rook,Corvus frugilegus
Rose,Rosa
Sandalwood,Santalum album
Sea Lions,Hydrurga leptonyx
Sheep,Ovis aries
Silkworms,Bombyx mori
Silver Oak,Grevillea robusta
Silverfish,Lepisma saccharina
Siskin,Carduelis spinus
Skylark,Alauda arvensis
Snail,Gastropoda
Snakefly,Raphidioptera
Snipe,Gallinago gallinago
Song,thrush Turdus philomelos
Soya bean,Glycine max
Sparrowhawk,Accipiter nisus
Sperm Whale,Physeter macrocephalus
Spinach,Lactuca sativa
Spotted,flycatcher Muscicapa striata
Starling,Sturnus vulgaris
Stink Bugs,Halyomorpha halys
Stock,dove Columba oenas
Stonechat,Saxicola torquata
Sunflower,Helianthus annuus
Swallow,Hirundo rustica
Sweet Potato,Ipomoea batatas
Tamarind tree,Tamarindus indica
Teak,Tectona grandis Linn.
Termite,Isoptera
Termites,Isoptera
Tick,Ixodida
Tiger,Panthera tigris
Tiger Shark,Galeocerdo cuvier
Tobacco,Nicotina tobaccum
Tomato,Lycopersicon esculentum
Tree,pipit Anthus trivialis
Treecreeper,Certhia familiaris
Tufted,duck Aythya fuligula
Tulsi,Ocimum sanctum
Turmeric,Curcuma longa
Uakari,Cacajao
Uguisu,Horornis diphone
Uinta Ground Squirrel,Urocitellus armatus
Umbrellabird,Cephalopterus
Unau,Choloepus didactylus
Ural owl,Strix uralensis
Utonagan,Canis lupus familiaris
Vampire Bat,Desmodontinae
Vampire Squid,Vampyroteuthis infernalis
Vaquita,Phocoena sinus
Venus Flytrap,Dionaea muscipula
Vervet Monkey,Chlorocebus pygerythrus
Vicu̱a,Vicugna vicugna
Vinegaroon,Uropygi
Viper shark (dogfish),Trigonognathus kabeyai
Virgin Islands Dwarf Gecko,Sphaerodactylus parthenopion
Vizsla,Canis lupus familiaris
Volpino Italiano,Canis lupus familiaris
Walrus,Odobenus rosmarus
Wasp,Vespa
Wasps,Vespidae
Water Buffalo,Bubalus bubalis
Watermelon,Citrullus vulgaris
Whale Shark,Rhincodon typus
Wheatear,Oenanthe oenanthe
Whinchat,Saxicola rubetra
Whitethroat,Sylvia communis
Willow,warbler Phylloscopus trochilus
Wolf,Canis lupus
Wood,warbler Phylloscopus sibilatrix
Woodpigeon,Columba palumbus
Wren,Troglodytes troglodytes
X-Ray Tetra,Pristella maxillaris
Xerus,Xerus
Xoloitzcuintli,Canis lupus familiaris
Yak,Bos grunniens
Yakutian Laika,Canis lupus familiaris
Yellow Sac Spider,Cheiracanthium inclusum
Yellow Spotted Lizard,Lepidophyma flavimaculatum
Yellow-Eyed Penguin,Megadyptes antipodes
Yellowfin Tuna,Thunnus albacares
Yellowhammer,Emberiza citrinella
Yeti Crab,Kiwa hirsuta
Yorkie-poo,Canis lupus familiaris
Yorkshire Terrier,Canis lupus familiaris
Zebra,Equus quagga
Zebra Finch,Taeniopygia guttata castanotis
Zebra Mussels,Dreissena polymorpha
Zebra Pleco,Hypancistrus zebra
Zebra Shark,Stegostoma fasciatum
Zebu,Bos taurus indicus
Zonkey,Equus zebra x Equus asinus
Zorse,Equus zebra x Equus caballus
Zuchon,Canis lupus familiaris
